职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
Python开发工程师,上海量讯通信科技有限公司,上海-徐汇区,1年经验,五险一金 员工旅游 专业培训 弹性工作 年终奖金 绩效奖金 通讯补贴,08-17,50-150人,通信/电信运营、增值服务,民营公司,https://jobs.51job.com/chengdu-jnq/136855130.html
Python开发工程师,钰真（上海）信息技术有限公司,上海-浦东新区,3-4年经验,做五休二 弹性工作 五险一金 带薪年假 绩效奖金 专业培训 出国机会 年终奖金 员工旅游,08-17,500-1000人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/127684125.html
python工程师,广州标际包装设备有限公司,广州,2年经验,做五休二 做一休一 周末双休 带薪年假 五险一金 交通补贴 餐饮补贴 住房补贴 通讯补贴 节日福利,08-17,150-500人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/113060799.html
Python开发工程师,广东金鉴实验室科技有限公司,广州-增城区,2年经验,五险一金 绩效奖金 周末双休 餐饮补贴 专业培训 弹性工作,08-17,50-150人,检测，认证,民营公司,https://jobs.51job.com/chengdu-jnq/134892517.html
Python开发工程师,武汉数字建造产业技术研究院有限公司,武汉-东湖新技术产业开发区,1年经验,带薪年假 五险一金 定期体检 商业保险 年终奖金 绩效奖金,08-17,50-150人,学术/科研,国企,https://jobs.51job.com/chengdu-jnq/140450688.html
Python开发高级工程师,广东众图科技有限公司,佛山-南海区,2年经验,五险一金 周末双休 带薪年假 专业培训 绩效奖金 团队聚餐 员工旅游,08-17,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/103357682.html
中级Python工程师,杭州钦寸科技有限公司,杭州-西湖区,3-4年经验,五险一金 绩效奖金 专业培训,08-17,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141137573.html
Python高级开发工程师,广州市日京信息科技有限公司,广州,3-4年经验,五险一金 专业培训 通讯补贴 餐饮补贴 绩效奖金 年终奖金,08-17,少于50人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/139933876.html
python中高级工程师,深圳市华威斯科技有限公司,深圳-福田区,2年经验,五险一金 节日福利 立即上岗,08-17,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/125137452.html
Python开发工程师,江西众加利高科技股份有限公司,南昌,2年经验,员工旅游 专业培训 通讯补贴 五险一金,08-17,150-500人,仪器仪表/工业自动化,上市公司,https://jobs.51job.com/chengdu-jnq/128096587.html
Python开发工程师,广东联通通信建设有限公司,广州-天河区,2年经验,,08-17,50-150人,通信/电信/网络设备,国企,https://jobs.51job.com/chengdu-jnq/139670703.html
Python开发工程师,山东东润仪表科技股份有限公司,烟台-莱山区,1年经验,五险一金 绩效奖金 交通补贴 年终奖金 定期体检,08-17,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/140150299.html
Python开发工程师,江苏科学梦创展科技有限公司,淮安,2年经验,年终奖金 餐饮补贴 通讯补贴,08-17,150-500人,建筑/建材/工程,民营公司,https://jobs.51job.com/chengdu-jnq/133167027.html
Python开发工程师,新格元（南京）生物科技有限公司,苏州-工业园区,1年经验,周末双休 餐饮补贴 节日福利 五险一金 年终奖金 团队建设 交通补贴 通讯补贴 全勤奖,08-17,500-1000人,制药/生物工程,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/137728140.html
Python后端开发工程师,广州麦仑信息科技有限公司,广州-黄埔区,3-4年经验,五险一金 补充医疗保险 补充公积金 员工旅游 年终奖金 周末双休 餐饮补贴,08-17,50-150人,计算机软件,合资,https://jobs.51job.com/chengdu-jnq/137517054.html
资深Python工程师,上海真固生物科技有限公司,上海-徐汇区,5-7年经验,五险一金 餐饮补贴 通讯补贴 定期体检 年终奖金,08-17,50-150人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/135610596.html
python开发工程师,深圳市冠智达实业有限公司,深圳-宝安区,1年经验,五险一金 绩效奖金 餐饮补贴 员工旅游 年终奖金 定期体检,08-17,150-500人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/141761415.html
Python开发工程师（地铁口3分钟+大数据项目）,深圳极联信息技术股份有限公司,深圳-南山区,3-4年经验,五险一金 健身俱乐部 丰盛下午茶,08-17,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136647898.html
Python初级开发工程师,深圳瑛雄建筑设计工程有限公司,长沙-芙蓉区,1年经验,绩效奖金 专业培训 五险 年终奖金 节日福利 不定期团建,08-16,50-150人,建筑/建材/工程,民营公司,https://jobs.51job.com/chengdu-jnq/141739293.html
web后端开发工程师-python,杭州博彦信息技术有限公司,广州,1年经验,五险一金 弹性工作 年终奖金 交通补贴 餐饮补贴 免费班车 绩效奖金,08-16,5000-10000人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/141434088.html
Python开发工程师,合肥市合趣网络科技有限公司,合肥,2年经验,绩效奖金 餐饮补贴 周末双休 做五休二 高温补贴 住房补贴 专业培训 弹性工作 带薪年假 节日福利,08-16,500-1000人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/139484921.html
Python开发工程师（双休）,深圳市南伽科技信息有限公司,深圳-龙华区,1年经验,五险一金 员工旅游 绩效奖金 年终奖金 专业培训 周末双休 餐饮补贴,08-16,50-150人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/140703662.html
Python开发工程师,重庆麻爪爪餐饮管理有限公司,重庆-沙坪坝区,2年经验,全勤奖 专业培训 通讯补贴 五险一金 绩效奖金,08-16,150-500人,餐饮业,民营公司,https://jobs.51job.com/chengdu-jnq/140539336.html
Python开发工程师,安徽兆尹信息科技股份有限公司,合肥,3-4年经验,做五休二 五险一金 节日福利 专业培训 员工旅游 定期体检 交通补贴 年终奖金 绩效奖金 餐饮补贴,08-16,1000-5000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141745028.html
Python工程师,杭州长望智创科技有限公司,重庆-江北区,2年经验,,08-16,150-500人,仪器仪表/工业自动化,国企,https://jobs.51job.com/chengdu-jnq/140580564.html
Python后端开发工程师,首域科技（杭州）有限公司,杭州-临平区,3-4年经验,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检 股票期权,08-16,少于50人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/139940460.html
python开发工程师,丰度电气（上海）有限公司,上海-松江区,3-4年经验,五险一金 免费班车 员工旅游 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检,08-16,150-500人,通信/电信/网络设备,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/136531042.html
Python Web开发工程师,上海研鼎信息技术有限公司,上海-浦东新区,2年经验,五险一金 绩效奖金 员工旅游 餐饮补贴 年终奖金 定期体检,08-16,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/131947591.html
Python爬虫工程师,深圳好顺佳财务顾问有限公司,深圳-龙岗区,3-4年经验,年终奖金 绩效奖金 出国机会 专业培训 员工旅游 大小周 茶话会 生日福利 节日福利,08-16,150-500人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/141529031.html
Python高级开发工程师,快办通科技（厦门）有限公司,义乌,3-4年经验,五险一金 交通补贴 周末双休,08-16,少于50人,贸易/进出口,民营公司,https://jobs.51job.com/chengdu-jnq/140204580.html
开发工程师（Python）,宁波优耐特进出口有限公司,宁波,1年经验,五险一金 年终奖金 节日福利 免费工作餐 双休,08-16,500-1000人,贸易/进出口,合资,https://jobs.51job.com/chengdu-jnq/141746558.html
软件工程师（python）,广东新高程智能制造有限公司,珠海-珠海高新区,3-4年经验,五险一金,08-16,150-500人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/141745321.html
Python开发工程师,深圳市致琅科技有限公司,深圳-南山区,2年经验,五险一金 专业培训 绩效奖金 弹性工作 周末双休,08-16,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140370579.html
Python开发工程师,苏州益谱电磁科技有限公司,昆山,2年经验,五险一金 交通补贴 弹性工作 年终奖金 专业培训,08-16,少于50人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/128939662.html
Python高级开发工程师,成都国铁电气设备有限公司,成都-双流区,5-7年经验,五险一金 年终奖金 节日福利 专业培训 带薪假 交通补贴 餐饮补贴,08-16,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/122762843.html
Python开发工程师,上海世沃信息科技有限公司,上海-徐汇区,2年经验,做五休二 五险一金,08-16,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/131527017.html
Python开发工程师,深圳市天龙腾科技有限公司云南分公司,昆明-官渡区,3-4年经验,六险一金 电脑补助 员工旅游 绩效奖金 专业培训 餐饮补贴 年终奖金,08-16,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139069602.html
Python开发工程师,北京聘多多科技有限公司,东莞,3-4年经验,,08-16,500-1000人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/141627557.html
python开发工程师（烽火外包）,武汉新创云图科技有限公司,武汉-江夏区,3-4年经验,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 过节费 团建,08-16,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138906096.html
Python开发工程师,深圳市联畅信息技术有限公司,深圳-福田区,2年经验,五险一金 员工旅游 年终奖金 周末双休 岗位晋升 节日福利 带薪年假,08-16,50-150人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/119686694.html
Python高级开发工程师,深圳市企企通科技有限公司,广州-天河区,3-4年经验,五险一金 股票期权 绩效奖金 创业公司 周末双休 定期团建 带薪年假,08-16,1000-5000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141319654.html
Python高级开发工程师,上海全晓信息技术有限公司,上海-浦东新区,5-7年经验,五险一金 周末双休,08-16,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/135565781.html
Python开发工程师,江苏大块头智驾科技有限公司,南京-建邺区,3-4年经验,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 项目奖,08-16,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136418046.html
软件开发工程师（Linux/Python方向）,上海集成电路装备材料产业创新中心有限公司,上海,3-4年经验,五险一金 补充医疗保险 补充公积金 交通补贴 餐饮补贴 通讯补贴 专业培训 出国机会 年终奖金 绩效奖金,08-16,1000-5000人,电子技术/半导体/集成电路,国企,https://jobs.51job.com/chengdu-jnq/141335745.html
Python开发工程师,北京星华惠康科技股份有限公司,深圳-福田区,3-4年经验,五险一金 专业培训 绩效奖金 年终奖金 通讯补贴,08-16,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/135451370.html
Python开发工程师,众慧通智能技术有限责任公司,宁波-海曙区,3-4年经验,周末双休 带薪年假 五险一金 包吃 节日福利 绩效奖金,08-16,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136804218.html
python数据开发工程师,四川天兆猪业股份有限公司,重庆-渝北区,无需经验,五险一金 绩效奖金 节日福利 专业培训 通讯补贴 带薪年假,08-16,1000-5000人,农/林/牧/渔,民营公司,https://jobs.51job.com/chengdu-jnq/139509356.html
Python工程师,广东南方财经全媒体集团股份有限公司,广州-越秀区,1年经验,五险一金 绩效奖金 年终奖金 定期体检,08-16,500-1000人,影视/媒体/艺术/文化传播,国企,https://jobs.51job.com/chengdu-jnq/141370153.html
Python开发工程师,上海念空数据科技中心（有限合伙）,上海-浦东新区,2年经验,五险一金 员工旅游 餐饮补贴 年终奖金 定期体检,08-16,少于50人,金融/投资/证券,民营公司,https://jobs.51job.com/chengdu-jnq/136919202.html
后端开发工程师（Python）,医墨（北京）医学信息技术有限公司,北京-大兴区,2年经验,五险一金 补充医疗保险 专业培训,08-16,,制药/生物工程,民营公司,https://jobs.51job.com/chengdu-jnq/141301816.html
Python开发工程师,日昇昌投资控股（广州）有限公司,广州-天河区,2年经验,五险一金 弹性工作 员工旅游 专业培训 绩效奖金 周末双休 员工下午茶,08-15,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140364914.html
Python数据工程师,广东数业智能科技有限公司,广州-黄埔区,2年经验,五险一金 餐饮补贴 年终奖金 定期体检 员工旅游 周末双休,08-15,50-150人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/141311869.html
Python开发工程师,广州致远电子有限公司,成都-金牛区,2年经验,五险一金 周末双休 带薪年假 员工旅游 年终奖金 定期体检 绩效奖金,08-15,500-1000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/134492212.html
